"Archivo","Lineas","Tamaño_KB"
"00-INDEX.md","7","0,07"
"10-Resum-Executiu.md","7","0,06"
"15-Tasques-Investigacio.md","7","0,1"
"20-Combinacio-Ideal.md","7","0,09"
"30-Ahorro-Tiempo.md","7","0,08"
"35-Mejora-Calidad.md","7","0,09"
"40-Herramientas-Por-Tarea.md","7","0,09"
"50-Tabla-Comparativa.md","7","0,08"
"55-Limites-Precauciones.md","7","0,08"
"60-Seguridad-Confidencialidad.md","7","0,09"
"70-Plan-Accion.md","7","0,07"
"80-Conclusion.md","7","0,06"
"beneficios que puede aportar ia en la investigacion VIH y esenescencia.md","402","16,47"
"Combinacion ideal de herramientas.md","532","15,84"
"ejemplos de ahorro de tiempo.md","126","4,43"
"factores para mejorar carreera de investigadora.md","207","6,13"
"herramientas para mejorar la carrera profesional.md","582","24,61"
"Segurida y confidencialida de los datos al usar IA.md","246","10,81"
"SEO en Biomedicina.md","131","4,44"
